,Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate,Year,Month
3174,4870,2,Detached House,1/03/2021,1/03/2021,1/04/2021,Public Housing,CAIRNS ,13,8,21,Cairns,Cairns,2021,2021-04
3175,4570,2,Detached House,1/05/2021,1/06/2021,1/06/2021,Public Housing,MAROOCHYDORE ,13,8,21,Gympie,Gympie,2021,2021-06
3176,0,1,Detached House,1/08/2020,1/09/2020,1/09/2020,Public Housing,IPSWICH ,13,8,21,Ipswich,Ipswich,2020,2020-09
3177,4558,1,Detached House,1/05/2021,1/06/2021,1/06/2021,Public Housing,MAROOCHYDORE ,13,8,21,Sunshine Coast,Maroochydore,2021,2021-06
3178,4560,3,Apartment,1/02/2021,1/02/2021,1/03/2021,Public Housing,MAROOCHYDORE ,13,8,21,Sunshine Coast,Nicklin,2021,2021-03
3179,4172,1,Apartment,1/08/2020,1/08/2020,1/08/2020,Public Housing,BURANDA ,13,8,21,Brisbane,Bulimba,2020,2020-08
3180,4883,3,Apartment,1/06/2020,1/06/2020,1/07/2020,Public Housing,CAIRNS ,13,9,22,Tablelands,Hill,2020,2020-07
3181,4051,1,Apartment,1/11/2020,1/12/2020,1/12/2020,Public Housing,FORTITUDE VALLEY ,13,9,22,Brisbane,Ferny Grove,2020,2020-12
3182,4068,1,Apartment,1/06/2020,1/06/2020,1/07/2020,Public Housing,FORTITUDE VALLEY ,13,9,22,Brisbane,Maiwar,2020,2020-07
3183,4068,1,Apartment,1/11/2020,1/11/2020,1/11/2020,Public Housing,FORTITUDE VALLEY ,13,9,22,Brisbane,Maiwar,2020,2020-11
3184,4030,1,Apartment,1/09/2020,1/09/2020,1/10/2020,Public Housing,FORTITUDE VALLEY ,13,9,22,Brisbane,Clayfield,2020,2020-10
3185,4650,2,Senior Unit,1/06/2020,1/06/2020,1/07/2020,Public Housing,MARYBOROUGH ,13,9,22,Fraser Coast,Maryborough,2020,2020-07
3186,4114,3,Apartment,1/05/2021,1/05/2021,1/06/2021,Public Housing,LOGAN ,13,9,22,Logan,Woodridge,2021,2021-06
3187,0,2,Detached House,1/07/2020,1/08/2020,1/08/2020,Public Housing,IPSWICH ,13,9,22,Ipswich,Ipswich,2020,2020-08
3188,4121,1,Detached House,1/09/2020,1/09/2020,1/10/2020,Public Housing,BURANDA ,13,10,23,Brisbane,Greenslopes,2020,2020-10
3189,4216,2,Detached House,1/02/2021,1/02/2021,1/03/2021,Public Housing,GOLD COAST ,13,10,23,Gold Coast,Bonney,2021,2021-03
3190,4557,3,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,MAROOCHYDORE ,13,10,23,Sunshine Coast,Buderim,2021,2021-01
3191,4105,2,Detached House,1/07/2020,1/08/2020,1/08/2020,Public Housing,BURANDA ,13,10,23,Brisbane,Toohey,2020,2020-08
3192,4650,3,Detached House,1/07/2020,1/08/2020,1/08/2020,Public Housing,MARYBOROUGH ,13,11,24,Fraser Coast,Maryborough,2020,2020-08
3193,4700,1,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,ROCKHAMPTON ,13,11,24,Rockhampton,Rockhampton,2021,2021-01
3194,4650,2,Detached House,1/08/2020,1/08/2020,1/09/2020,Public Housing,MARYBOROUGH ,13,11,24,Fraser Coast,Maryborough,2020,2020-09
3195,4740,2,Detached House,1/01/2021,1/02/2021,1/02/2021,Public Housing,MACKAY ,13,12,25,Mackay,Mackay,2021,2021-02
3196,4215,1,Duplex,1/02/2021,1/03/2021,1/03/2021,Public Housing,GOLD COAST ,13,13,26,Gold Coast,Bonney,2021,2021-03
3197,4883,3,Duplex,1/12/2020,1/12/2020,1/01/2021,Public Housing,CAIRNS ,13,14,27,Tablelands,Hill,2021,2021-01
3198,4012,2,Detached House,1/06/2020,1/06/2020,1/07/2020,Public Housing,CHERMSIDE ,13,14,27,Brisbane,Nudgee,2020,2020-07
3199,4715,3,Duplex,1/08/2020,1/08/2020,1/09/2020,Public Housing,ROCKHAMPTON ,13,14,27,Banana,Callide,2020,2020-09
3200,4870,1,Detached House,1/03/2021,1/03/2021,1/04/2021,Public Housing,CAIRNS ,13,14,27,Cairns,Cairns,2021,2021-04
3201,4560,3,Detached House,1/03/2021,1/03/2021,1/04/2021,Public Housing,MAROOCHYDORE ,13,14,27,Sunshine Coast,Nicklin,2021,2021-04
3202,4214,3,Duplex,1/02/2021,1/02/2021,1/03/2021,Public Housing,GOLD COAST ,13,14,27,Gold Coast,Bonney,2021,2021-03
3203,4104,1,Senior Unit,1/06/2021,1/06/2021,1/06/2021,Public Housing,BURANDA ,13,15,28,Brisbane,Miller,2021,2021-06
3204,4670,1,Detached House,1/02/2021,1/03/2021,1/03/2021,Public Housing,BUNDABERG ,13,15,28,Bundaberg,Bundaberg,2021,2021-03
3205,0,3,Detached House,1/10/2020,1/10/2020,1/11/2020,Public Housing,MORETON BAY ,13,15,28,Moreton Bay,Bancroft,2020,2020-11
3206,4702,3,Detached House,1/04/2021,1/04/2021,1/05/2021,Public Housing,ROCKHAMPTON ,13,15,28,Rockhampton,Rockhampton,2021,2021-05
3207,4305,3,Duplex,1/06/2020,1/06/2020,1/07/2020,Public Housing,IPSWICH ,13,15,28,Ipswich,Ipswich,2020,2020-07
3208,4810,2,Duplex,1/03/2021,1/03/2021,1/03/2021,Public Housing,TOWNSVILLE ,13,15,28,Townsville,Townsville,2021,2021-03
3209,4152,3,Senior Unit,1/08/2020,1/09/2020,1/09/2020,Public Housing,BURANDA ,13,16,29,Brisbane,Greenslopes,2020,2020-09
3210,4005,1,Senior Unit,1/08/2020,1/08/2020,1/09/2020,Public Housing,FORTITUDE VALLEY ,13,17,30,Brisbane,McConnel,2020,2020-09
3211,4740,1,Senior Unit,1/11/2020,1/11/2020,1/12/2020,Public Housing,MACKAY ,13,17,30,Mackay,Mackay,2020,2020-12
3212,4573,2,Apartment,1/09/2020,1/10/2020,1/10/2020,Public Housing,MAROOCHYDORE ,13,17,30,Sunshine Coast,Ninderry,2020,2020-10
3213,4885,2,Apartment,1/12/2020,1/12/2020,1/01/2021,Public Housing,CAIRNS ,13,18,31,Tablelands,Hill,2021,2021-01
3214,4800,2,Detached House,1/11/2020,1/11/2020,1/12/2020,Public Housing,MACKAY ,13,18,31,Whitsunday,Whitsunday,2020,2020-12
3215,4870,2,Duplex,1/03/2021,1/03/2021,1/04/2021,Public Housing,CAIRNS ,13,19,32,Cairns,Cairns,2021,2021-04
3216,4560,1,Detached House,1/03/2021,1/04/2021,1/04/2021,Public Housing,MAROOCHYDORE ,13,19,32,Sunshine Coast,Nicklin,2021,2021-04
3217,4005,1,Detached House,1/04/2021,1/04/2021,1/05/2021,Public Housing,FORTITUDE VALLEY ,13,20,33,Brisbane,McConnel,2021,2021-05
3218,4169,2,Detached House,1/01/2021,1/01/2021,1/02/2021,Public Housing,FORTITUDE VALLEY ,13,20,33,Brisbane,South Brisbane,2021,2021-02
3219,4223,3,Cluster Housing,1/08/2020,1/09/2020,1/09/2020,Public Housing,GOLD COAST ,13,20,33,Gold Coast,Currumbin,2020,2020-09
3220,4032,3,Detached House,1/03/2021,1/03/2021,1/04/2021,Public Housing,CHERMSIDE ,13,21,34,Brisbane,Stafford,2021,2021-04
3221,4020,1,Detached House,1/11/2020,1/11/2020,1/12/2020,Public Housing,MORETON BAY ,13,21,34,Moreton Bay,Redcliffe,2020,2020-12
3222,4869,4,Detached House,1/01/2021,1/02/2021,1/02/2021,Public Housing,CAIRNS ,13,21,34,Cairns,Mulgrave,2021,2021-02
3223,4034,2,Detached House,1/02/2021,1/03/2021,1/03/2021,Public Housing,CHERMSIDE ,13,22,35,Brisbane,Nudgee,2021,2021-03
3224,0,2,Detached House,1/10/2020,1/11/2020,1/12/2020,Public Housing,MAROOCHYDORE ,13,22,35,Sunshine Coast,Nicklin,2020,2020-12
3225,4019,2,Detached House,1/07/2020,1/08/2020,1/09/2020,Public Housing,MORETON BAY ,13,22,35,Moreton Bay,Redcliffe,2020,2020-09
3226,4701,2,Senior Unit,1/05/2021,1/05/2021,1/06/2021,Public Housing,ROCKHAMPTON ,13,22,35,Rockhampton,Keppel,2021,2021-06
3227,4178,1,Senior Unit,1/04/2021,1/04/2021,1/05/2021,Public Housing,BAYSIDE ,13,23,36,Brisbane,Lytton,2021,2021-05
3228,4178,1,Senior Unit,1/02/2021,1/03/2021,1/03/2021,Public Housing,BAYSIDE ,13,23,36,Brisbane,Lytton,2021,2021-03
3229,4103,2,Senior Unit,1/10/2020,1/11/2020,1/12/2020,Public Housing,BURANDA ,13,23,36,Brisbane,Miller,2020,2020-12
3230,4670,2,Senior Unit,1/04/2021,1/05/2021,1/06/2021,Public Housing,BUNDABERG ,13,23,36,Bundaberg,Bundaberg,2021,2021-06
3231,4558,1,Attached Housing,1/03/2021,1/04/2021,1/04/2021,Public Housing,MAROOCHYDORE ,13,24,37,Sunshine Coast,Maroochydore,2021,2021-04
3232,4032,1,Attached Housing,1/12/2020,1/12/2020,1/01/2021,Public Housing,CHERMSIDE ,13,25,38,Brisbane,Stafford,2021,2021-01
3233,4178,1,Attached Housing,1/11/2020,1/12/2020,1/01/2021,Public Housing,BAYSIDE ,13,27,40,Brisbane,Lytton,2021,2021-01
3234,4006,2,Senior Unit,1/05/2021,1/05/2021,1/06/2021,Public Housing,FORTITUDE VALLEY ,13,27,40,Brisbane,McConnel,2021,2021-06
3235,4104,1,Senior Unit,1/01/2021,1/02/2021,1/03/2021,Public Housing,BURANDA ,13,28,41,Brisbane,Miller,2021,2021-03
3236,4895,2,Senior Unit,1/03/2021,1/03/2021,1/04/2021,Public Housing,CAIRNS ,13,28,41,Cook,Cook,2021,2021-04
3237,4159,2,Attached Housing,1/11/2020,1/12/2020,1/01/2021,Public Housing,BAYSIDE ,13,28,41,Redland,Capalaba,2021,2021-01
3238,4122,1,Detached House,1/01/2021,1/02/2021,1/03/2021,Public Housing,BURANDA ,13,29,42,Brisbane,Mansfield,2021,2021-03
3239,4011,1,Senior Unit,1/12/2020,1/12/2020,1/01/2021,Public Housing,FORTITUDE VALLEY ,13,30,43,Brisbane,Clayfield,2021,2021-01
3240,4880,1,Senior Unit,1/10/2020,1/11/2020,1/12/2020,Public Housing,CAIRNS ,13,30,43,Mareeba,Cook,2020,2020-12
3241,4005,1,Senior Unit,1/03/2021,1/04/2021,1/05/2021,Public Housing,FORTITUDE VALLEY ,13,34,47,Brisbane,McConnel,2021,2021-05
3242,4870,1,Senior Unit,1/02/2021,1/02/2021,1/03/2021,Public Housing,CAIRNS ,13,34,47,Cairns,Cairns,2021,2021-03
3243,4019,1,Detached House,1/07/2020,1/07/2020,1/09/2020,Public Housing,MORETON BAY ,13,34,47,Moreton Bay,Redcliffe,2020,2020-09
3244,4152,1,Senior Unit,1/03/2021,1/03/2021,1/05/2021,Public Housing,BURANDA ,13,35,48,Brisbane,Bulimba,2021,2021-05
3245,4101,1,Apartment,1/03/2021,1/03/2021,1/04/2021,Public Housing,FORTITUDE VALLEY ,13,36,49,Brisbane,South Brisbane,2021,2021-04
3246,4169,1,Apartment,1/01/2021,1/02/2021,1/03/2021,Public Housing,FORTITUDE VALLEY ,13,37,50,Brisbane,South Brisbane,2021,2021-03
3247,4305,1,Apartment,1/07/2020,1/08/2020,1/09/2020,Public Housing,IPSWICH ,13,38,51,Ipswich,Ipswich,2020,2020-09
3248,4565,1,Detached House,1/07/2020,1/08/2020,1/09/2020,Public Housing,MAROOCHYDORE ,13,39,52,Noosa,Noosa,2020,2020-09
3249,4870,1,Apartment,1/08/2020,1/09/2020,1/10/2020,Public Housing,CAIRNS ,13,40,53,Cairns,Cairns,2020,2020-10
3250,4304,3,Apartment,1/08/2020,1/08/2020,1/09/2020,Public Housing,IPSWICH ,13,40,53,Ipswich,Ipswich,2020,2020-09
3251,4022,3,Senior Unit,1/11/2020,1/12/2020,1/01/2021,Public Housing,MORETON BAY ,13,42,55,Moreton Bay,Murrumba,2021,2021-01
3252,4121,1,Attached Housing,1/04/2021,1/04/2021,1/06/2021,Public Housing,BURANDA ,13,43,56,Brisbane,Greenslopes,2021,2021-06
3253,4221,1,Senior Unit,1/03/2021,1/04/2021,1/05/2021,Public Housing,GOLD COAST ,13,44,57,Gold Coast,Burleigh,2021,2021-05
3254,4877,1,Senior Unit,1/02/2021,1/02/2021,1/04/2021,Public Housing,CAIRNS ,13,44,57,Douglas,Cook,2021,2021-04
3255,4019,1,Detached House,1/07/2020,1/07/2020,1/09/2020,Public Housing,MORETON BAY ,13,44,57,Moreton Bay,Redcliffe,2020,2020-09
3256,0,1,Detached House,1/06/2020,1/07/2020,1/08/2020,Public Housing,CAIRNS ,13,51,64,Cairns,Cairns,2020,2020-08
3257,4221,3,Senior Unit,1/05/2020,1/05/2020,1/07/2020,Public Housing,GOLD COAST ,13,52,65,Gold Coast,Currumbin,2020,2020-07
3258,4170,1,Senior Unit,1/02/2021,1/03/2021,1/05/2021,Public Housing,BURANDA ,13,57,70,Brisbane,Bulimba,2021,2021-05
3259,4570,1,Senior Unit,1/05/2020,1/05/2020,1/07/2020,Public Housing,MAROOCHYDORE ,13,57,70,Gympie,Gympie,2020,2020-07
3260,4825,2,Attached Housing,1/09/2020,1/09/2020,1/11/2020,Public Housing,MOUNT ISA ,13,62,75,Mount Isa,Traeger,2020,2020-11
3261,4170,1,Attached Housing,1/02/2021,1/03/2021,1/05/2021,Public Housing,BURANDA ,13,64,77,Brisbane,Bulimba,2021,2021-05
3262,4870,1,Detached House,1/08/2020,1/09/2020,1/11/2020,Public Housing,CAIRNS ,13,67,80,Cairns,Cairns,2020,2020-11
3263,4502,1,Duplex,1/11/2020,1/11/2020,1/02/2021,Public Housing,MORETON BAY ,13,69,82,Moreton Bay,Kurwongbah,2021,2021-02
3264,4870,1,Detached House,1/01/2021,1/01/2021,1/04/2021,Public Housing,CAIRNS ,13,82,95,Cairns,Cairns,2021,2021-04
3265,4879,2,Detached House,1/04/2020,1/04/2020,1/08/2020,Public Housing,CAIRNS ,13,105,118,Cairns,Barron River,2020,2020-08
3266,4883,1,Apartment,1/07/2020,1/08/2020,1/12/2020,Public Housing,CAIRNS ,13,121,134,Tablelands,Hill,2020,2020-12
3267,4807,1,Apartment,1/09/2020,1/10/2020,1/10/2020,Public Housing,TOWNSVILLE ,14,0,14,Burdekin,Burdekin,2020,2020-10
3268,4053,3,Senior Unit,1/09/2020,1/09/2020,1/09/2020,Public Housing,CHERMSIDE ,14,0,14,Brisbane,Stafford,2020,2020-09
3269,4077,2,Senior Unit,1/07/2020,1/08/2020,1/08/2020,Public Housing,INALA ,14,0,14,Brisbane,Inala,2020,2020-08
3270,4051,1,Detached House,1/02/2021,1/03/2021,1/03/2021,Public Housing,FORTITUDE VALLEY ,14,0,14,Brisbane,Ferny Grove,2021,2021-03
3271,4051,1,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,FORTITUDE VALLEY ,14,0,14,Brisbane,Stafford,2021,2021-05
3272,4207,3,Detached House,1/07/2020,1/07/2020,1/07/2020,Public Housing,LOGAN ,14,0,14,Logan,Macalister,2020,2020-07
3273,4207,2,Detached House,1/03/2021,1/03/2021,1/03/2021,Public Housing,LOGAN ,14,0,14,Logan,Macalister,2021,2021-03
3274,4680,3,Detached House,1/07/2020,1/07/2020,1/07/2020,Public Housing,GLADSTONE ,14,0,14,Gladstone,Gladstone,2020,2020-07
3275,4114,3,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,LOGAN ,14,0,14,Logan,Woodridge,2020,2020-12
3276,4740,1,Detached House,1/07/2020,1/08/2020,1/08/2020,Public Housing,MACKAY ,14,0,14,Mackay,Mackay,2020,2020-08
3277,4132,3,Detached House,1/07/2020,1/07/2020,1/07/2020,Public Housing,LOGAN ,14,0,14,Logan,Woodridge,2020,2020-07
3278,4800,2,Detached House,1/06/2021,1/06/2021,1/06/2021,Public Housing,MACKAY ,14,0,14,Whitsunday,Whitsunday,2021,2021-06
3279,4122,3,Apartment,1/10/2020,1/11/2020,1/11/2020,Public Housing,BURANDA ,14,1,15,Brisbane,Mansfield,2020,2020-11
3280,0,3,Apartment,1/09/2020,1/09/2020,1/09/2020,Public Housing,INALA ,14,1,15,Brisbane,Inala,2020,2020-09
3281,4053,1,Detached House,1/10/2020,1/11/2020,1/11/2020,Public Housing,CHERMSIDE ,14,1,15,Brisbane,Stafford,2020,2020-11
3282,4169,1,Detached House,1/02/2021,1/02/2021,1/02/2021,Public Housing,FORTITUDE VALLEY ,14,1,15,Brisbane,South Brisbane,2021,2021-02
3283,4105,1,Detached House,1/01/2021,1/02/2021,1/02/2021,Public Housing,BURANDA ,14,1,15,Brisbane,Toohey,2021,2021-02
3284,4120,1,Detached House,1/02/2021,1/03/2021,1/03/2021,Public Housing,BURANDA ,14,1,15,Brisbane,Greenslopes,2021,2021-03
3285,4121,1,Detached House,1/11/2020,1/12/2020,1/12/2020,Public Housing,BURANDA ,14,1,15,Brisbane,Greenslopes,2020,2020-12
3286,4670,3,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,BUNDABERG ,14,1,15,Bundaberg,Bundaberg,2021,2021-05
3287,4670,3,Detached House,1/07/2020,1/07/2020,1/07/2020,Public Housing,BUNDABERG ,14,1,15,Bundaberg,Bundaberg,2020,2020-07
3288,4805,3,Detached House,1/10/2020,1/11/2020,1/11/2020,Public Housing,MACKAY ,14,1,15,Whitsunday,Burdekin,2020,2020-11
3289,4505,3,Detached House,1/07/2020,1/07/2020,1/07/2020,Public Housing,MORETON BAY ,14,1,15,Moreton Bay,Kurwongbah,2020,2020-07
3290,4163,1,Detached House,1/02/2021,1/03/2021,1/03/2021,Public Housing,BAYSIDE ,14,1,15,Redland,Oodgeroo,2021,2021-03
3291,4802,4,Senior Unit,1/11/2020,1/12/2020,1/12/2020,Public Housing,MACKAY ,14,1,15,Whitsunday,Whitsunday,2020,2020-12
3292,4702,3,Senior Unit,1/06/2020,1/07/2020,1/07/2020,Public Housing,ROCKHAMPTON ,14,1,15,Rockhampton,Rockhampton,2020,2020-07
3293,0,3,Senior Unit,1/06/2020,1/07/2020,1/07/2020,Public Housing,GLADSTONE ,14,1,15,Gladstone,Gladstone,2020,2020-07
3294,0,3,Apartment,1/06/2020,1/07/2020,1/07/2020,Public Housing,GLADSTONE ,14,1,15,Gladstone,Gladstone,2020,2020-07
3295,4215,3,Apartment,1/08/2020,1/09/2020,1/09/2020,Public Housing,GOLD COAST ,14,1,15,Gold Coast,Bonney,2020,2020-09
3296,4218,1,Apartment,1/02/2021,1/03/2021,1/03/2021,Public Housing,GOLD COAST ,14,1,15,Gold Coast,Mermaid Beach,2021,2021-03
3297,4558,2,Apartment,1/02/2021,1/02/2021,1/02/2021,Public Housing,MAROOCHYDORE ,14,1,15,Sunshine Coast,Maroochydore,2021,2021-02
3298,4127,3,Apartment,1/10/2020,1/11/2020,1/11/2020,Public Housing,LOGAN ,14,1,15,Logan,Waterford,2020,2020-11
3299,4500,2,Apartment,1/09/2020,1/10/2020,1/10/2020,Public Housing,MORETON BAY ,14,1,15,Moreton Bay,Pine Rivers,2020,2020-10
3300,4114,2,Apartment,1/09/2020,1/10/2020,1/10/2020,Public Housing,LOGAN ,14,1,15,Logan,Woodridge,2020,2020-10
3301,4703,2,Apartment,1/03/2021,1/04/2021,1/04/2021,Public Housing,ROCKHAMPTON ,14,1,15,Livingstone,Keppel,2021,2021-04
3302,4132,4,Apartment,1/09/2020,1/09/2020,1/10/2020,Public Housing,LOGAN ,14,1,15,Logan,Woodridge,2020,2020-10
3303,4075,1,Apartment,1/08/2020,1/08/2020,1/08/2020,Public Housing,INALA ,14,1,15,Brisbane,Miller,2020,2020-08
3304,4010,1,Apartment,1/05/2021,1/05/2021,1/05/2021,Public Housing,FORTITUDE VALLEY ,14,2,16,Brisbane,Clayfield,2021,2021-05
3305,4051,2,Apartment,1/07/2020,1/07/2020,1/07/2020,Public Housing,FORTITUDE VALLEY ,14,2,16,Brisbane,Stafford,2020,2020-07
3306,4157,1,Apartment,1/06/2020,1/07/2020,1/07/2020,Public Housing,BAYSIDE ,14,2,16,Redland,Capalaba,2020,2020-07
3307,4680,3,Apartment,1/06/2020,1/07/2020,1/07/2020,Public Housing,GLADSTONE ,14,2,16,Gladstone,Gladstone,2020,2020-07
3308,4825,3,Senior Unit,1/10/2020,1/11/2020,1/11/2020,Public Housing,MOUNT ISA ,14,2,16,Mount Isa,Traeger,2020,2020-11
3309,4114,2,Duplex,1/04/2021,1/05/2021,1/05/2021,Public Housing,LOGAN ,14,2,16,Logan,Woodridge,2021,2021-05
3310,4740,2,Detached House,1/07/2020,1/08/2020,1/08/2020,Public Housing,MACKAY ,14,2,16,Mackay,Mackay,2020,2020-08
3311,4740,3,Detached House,1/06/2020,1/06/2020,1/07/2020,Public Housing,MACKAY ,14,2,16,Mackay,Mackay,2020,2020-07
3312,4873,3,Detached House,1/03/2021,1/03/2021,1/03/2021,Public Housing,CAIRNS ,14,2,16,Douglas,Cook,2021,2021-03
3313,4119,2,Detached House,1/11/2020,1/12/2020,1/12/2020,Public Housing,LOGAN ,14,2,16,Logan,Waterford,2020,2020-12
3314,4114,1,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,LOGAN ,14,2,16,Logan,Woodridge,2020,2020-11
3315,4575,3,Detached House,1/06/2021,1/06/2021,1/06/2021,Public Housing,MAROOCHYDORE ,14,2,16,Sunshine Coast,Kawana,2021,2021-06
3316,4870,1,Duplex,1/02/2021,1/03/2021,1/03/2021,Public Housing,CAIRNS ,14,2,16,Cairns,Cairns,2021,2021-03
3317,4807,3,Detached House,1/02/2021,1/02/2021,1/02/2021,Public Housing,TOWNSVILLE ,14,3,17,Burdekin,Burdekin,2021,2021-02
3318,4053,2,Senior Unit,1/10/2020,1/10/2020,1/10/2020,Public Housing,CHERMSIDE ,14,3,17,Brisbane,Stafford,2020,2020-10
3319,4053,2,Senior Unit,1/08/2020,1/08/2020,1/08/2020,Public Housing,CHERMSIDE ,14,3,17,Brisbane,Stafford,2020,2020-08
3320,4051,1,Senior Unit,1/10/2020,1/10/2020,1/10/2020,Public Housing,FORTITUDE VALLEY ,14,3,17,Brisbane,Ferny Grove,2020,2020-10
3321,4179,1,Senior Unit,1/09/2020,1/09/2020,1/09/2020,Public Housing,BAYSIDE ,14,3,17,Brisbane,Lytton,2020,2020-09
3322,4051,2,Senior Unit,1/02/2021,1/02/2021,1/03/2021,Public Housing,FORTITUDE VALLEY ,14,3,17,Brisbane,Everton,2021,2021-03
3323,4102,1,Attached Housing,1/06/2020,1/06/2020,1/07/2020,Public Housing,BURANDA ,14,3,17,Brisbane,South Brisbane,2020,2020-07
3324,4031,2,Senior Unit,1/10/2020,1/11/2020,1/11/2020,Public Housing,CHERMSIDE ,14,3,17,Brisbane,Stafford,2020,2020-11
3325,4670,2,Detached House,1/02/2021,1/03/2021,1/03/2021,Public Housing,BUNDABERG ,14,3,17,Bundaberg,Bundaberg,2021,2021-03
3326,4680,3,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,GLADSTONE ,14,3,17,Gladstone,Gladstone,2020,2020-11
3327,4114,2,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,LOGAN ,14,3,17,Logan,Woodridge,2021,2021-05
3328,4501,3,Detached House,1/11/2020,1/12/2020,1/12/2020,Public Housing,MORETON BAY ,14,3,17,Moreton Bay,Kurwongbah,2020,2020-12
3329,4132,3,Detached House,1/01/2021,1/02/2021,1/02/2021,Public Housing,LOGAN ,14,3,17,Logan,Woodridge,2021,2021-02
3330,4557,1,Detached House,1/04/2021,1/05/2021,1/05/2021,Public Housing,MAROOCHYDORE ,14,3,17,Sunshine Coast,Maroochydore,2021,2021-05
3331,4558,2,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,MAROOCHYDORE ,14,3,17,Sunshine Coast,Maroochydore,2021,2021-05
3332,0,3,Detached House,1/08/2020,1/08/2020,1/08/2020,Public Housing,LOGAN ,14,3,17,Logan,Woodridge,2020,2020-08
3333,4133,2,Detached House,1/02/2021,1/02/2021,1/02/2021,Public Housing,LOGAN ,14,3,17,Logan,Waterford,2021,2021-02
3334,4121,2,Detached House,1/07/2020,1/07/2020,1/08/2020,Public Housing,BURANDA ,14,3,17,Brisbane,Greenslopes,2020,2020-08
3335,4207,1,Detached House,1/01/2021,1/02/2021,1/02/2021,Public Housing,LOGAN ,14,4,18,Logan,Macalister,2021,2021-02
3336,4740,1,Detached House,1/11/2020,1/12/2020,1/12/2020,Public Housing,MACKAY ,14,4,18,Mackay,Mackay,2020,2020-12
3337,4019,1,Detached House,1/11/2020,1/12/2020,1/12/2020,Public Housing,MORETON BAY ,14,4,18,Moreton Bay,Redcliffe,2020,2020-12
3338,4815,3,Detached House,1/05/2021,1/06/2021,1/06/2021,Public Housing,TOWNSVILLE ,14,4,18,Townsville,Thuringowa,2021,2021-06
3339,4163,1,Detached House,1/11/2020,1/12/2020,1/12/2020,Public Housing,BAYSIDE ,14,4,18,Redland,Oodgeroo,2020,2020-12
3340,4572,2,Detached House,1/05/2021,1/05/2021,1/06/2021,Public Housing,MAROOCHYDORE ,14,5,19,Sunshine Coast,Maroochydore,2021,2021-06
3341,4053,4,Detached House,1/10/2020,1/11/2020,1/11/2020,Public Housing,CHERMSIDE ,14,5,19,Brisbane,Stafford,2020,2020-11
3342,4077,3,Detached House,1/10/2020,1/10/2020,1/10/2020,Public Housing,INALA ,14,5,19,Brisbane,Inala,2020,2020-10
3343,4012,2,Duplex,1/11/2020,1/11/2020,1/11/2020,Public Housing,CHERMSIDE ,14,5,19,Brisbane,Nudgee,2020,2020-11
3344,4178,2,Duplex,1/03/2021,1/03/2021,1/03/2021,Public Housing,BAYSIDE ,14,5,19,Brisbane,Lytton,2021,2021-03
3345,4053,3,Detached House,1/05/2021,1/06/2021,1/06/2021,Public Housing,FORTITUDE VALLEY ,14,5,19,Brisbane,Ferny Grove,2021,2021-06
3346,4005,1,Detached House,1/10/2020,1/10/2020,1/11/2020,Public Housing,FORTITUDE VALLEY ,14,5,19,Brisbane,McConnel,2020,2020-11
3347,4012,1,Detached House,1/09/2020,1/10/2020,1/10/2020,Public Housing,CHERMSIDE ,14,5,19,Brisbane,Nudgee,2020,2020-10
3348,4510,4,Duplex,1/09/2020,1/09/2020,1/09/2020,Public Housing,MORETON BAY ,14,5,19,Moreton Bay,Morayfield,2020,2020-09
3349,4163,1,Duplex,1/07/2020,1/07/2020,1/08/2020,Public Housing,BAYSIDE ,14,5,19,Redland,Oodgeroo,2020,2020-08
3350,4868,1,Duplex,1/10/2020,1/10/2020,1/10/2020,Public Housing,CAIRNS ,14,5,19,Cairns,Mulgrave,2020,2020-10
3351,4680,2,Duplex,1/10/2020,1/10/2020,1/10/2020,Public Housing,GLADSTONE ,14,5,19,Gladstone,Gladstone,2020,2020-10
3352,4860,1,Detached House,1/08/2020,1/08/2020,1/09/2020,Public Housing,CAIRNS ,14,5,19,Cassowary Coast,Hill,2020,2020-09
3353,4740,3,Detached House,1/02/2021,1/03/2021,1/03/2021,Public Housing,MACKAY ,14,5,19,Mackay,Mackay,2021,2021-03
3354,4557,1,Duplex,1/04/2021,1/05/2021,1/05/2021,Public Housing,MAROOCHYDORE ,14,5,19,Sunshine Coast,Maroochydore,2021,2021-05
3355,4020,2,Duplex,1/08/2020,1/08/2020,1/08/2020,Public Housing,MORETON BAY ,14,5,19,Moreton Bay,Redcliffe,2020,2020-08
3356,4701,1,Senior Unit,1/01/2021,1/02/2021,1/02/2021,Public Housing,ROCKHAMPTON ,14,5,19,Rockhampton,Rockhampton,2021,2021-02
